Player Name,Initial Stack,Credit?,$ Received,Balance,Credit,Ending Stack,P/L Player,Send Out,$ Sent,Tips,Done?,Tips %,Status,Notes,Total Tips:,Confirm Data,Starting Sum,End Sum,Should Equal,
nikhilm1 (nik1),$50.00,Yes,,Good,$50,$91.12,$41.12,$41.12,$37.00,$0.00,Yes,0.00%,Complete,,,,,,,
raj0904,$81.13,No,$81.13,Good,$0,$0.00,-$81.13,$0.00,$0.00,$0.00,Yes,0.00%,Complete,paid 100 to cover T2,,,,,,
catlib (cat),$50.00,Yes,,Good,$50,$44.25,-$5.75,-$5.75,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
raj0904,$100.00,No,$100.00,Good,$0,$0.00,-$100.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
sarmgoblin (bricked),$50.00,Yes,,Good,$50,$180.49,$130.49,$130.49,$123.00,$0.00,No,0.00%,In Progress,,,,,,,
ddavidl (tack),$50.00,Yes,,Good,$50,$51.75,$1.75,$1.75,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
bj1527 (yanited),$200.00,Yes,,Good,$200,$421.08,$221.08,$221.08,$210.00,$0.00,No,0.00%,In Progress,,,,,,,
Eugene (Mahalo),$40.00,Yes,,Good,$40,$113.80,$73.80,$73.80,$68.00,$0.00,No,0.00%,In Progress,,,,,,,
lisAA ,$50.00,Yes,,Good,$50,$104.65,$54.65,$54.65,$49.00,$0.00,No,0.00%,In Progress,,,,,,,
scorpio (callingBKL),$50.00,No,$50.00,Good,$0,$0.00,-$50.00,$0.00,$0.00,$0.00,No,0.00%,Complete,me,,,,,,
yunggarth (garth),$150.00,Yes,,Good,$150,$132.50,-$17.50,-$17.50,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
ddavidl (david),$50.00,Yes,,Good,$50,$1.75,-$48.25,-$48.25,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
dangdaniel,$50.00,Yes,,Good,$50,$68.57,$18.57,$18.57,$15.00,$0.00,No,0.00%,In Progress,,,,,,,
br1ann88 (Br1),$75.00,Yes,,Good,$75,$0.00,-$75.00,-$75.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
abyan (luckbox),$100.00,Yes,,Good,$100,$0.00,-$100.00,-$100.00,$0.00,$0.00,No,0.00%,In Progress,,,,,,,
unhinged,$200.00,No,$200.00,Good,$0,$0.00,-$200.00,$0.00,$0.00,$0.00,Yes,0.00%,Complete,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
,,Yes,,Good,,,$0.00,$0.00,,$0.00,,0.00%,,,,,,,,
